x,y
3243,1086
165,1088
1937,1088
55,1089
1432,1089
3853,1089
2017,1091
1066,1092
2353,1092
219,1093
270,1093
751,1093
1981,1093
1997,1093
2662,1093
3162,1093
2866,1094
1636,1095
3678,1095
437,1096
3586,1097
3205,1098
69,1099
2571,1099
48,1100
1055,1100
3760,1100
3232,1101
3788,1101
47,1102
2013,1102
1193,1103
1329,1104
65,1105
1905,1105
3101,1106
2861,1107
816,1108
3923,1108
108,1109
2553,1109
2977,1109
2900,1111
2422,1112
3588,1112
3858,1112
929,1113
1852,1113
198,1114
2231,1114
3704,1114
39,1115
2130,1115
2312,1115
2855,1115
2374,1116
2852,1116
1268,1117
1789,1117
2594,1117
3947,1117
138,1118
1204,1119
187,1120
3565,1121
35,1122
1138,1122
1523,1122
2462,1122
803,1123
1836,1123
1964,1123
3802,1123
2308,1124
562,1126
1599,1127
1810,1127
3059,1127
129,1128
667,1128
1943,1128
2843,1129
424,1131
3753,1131
113,1132
2467,1132
2657,1132
3937,1132
1130,1133
1669,1133
3595,1134
2144,1135
1116,1136
1979,1137
25,1138
1082,1138
729,1139
3431,1139
545,1140
1876,1140
2154,1141
3708,1141
3533,1142
22,1143
517,1143
1618,1144
3855,1145
850,1146
969,1147
1144,1147
2742,1147
362,1148
1432,1148
3133,1148
3659,1148
3045,1149
1271,1151
2437,1152
3077,1154
15,1155
1037,1155
1447,1157
3980,1157
2225,1158
2696,1158
3266,1160
156,1161
4018,1161
651,1162
1724,1163
2348,1163
4022,1163
4076,1164
1416,1165
1840,1166
3925,1166
341,1167
970,1168
1318,1168
2059,1168
3676,1168
1269,1169
2880,1169
3036,1169
4073,1169
269,1170
2694,1170
2388,1171
3970,1172
222,1173
1232,1173
3097,1173
1404,1174
245,1175
2107,1175
99,1177
1523,1178
3546,1178
371,1179
3485,1179
20,1180
2818,1180
2107,1181
3798,1181
3047,1182
1350,1183
2040,1183
3121,1183
3239,1183
251,1184
671,1184
1362,1184
1796,1184
2262,1184
1770,1185
2067,1185
2646,1185
3609,1185
1310,1186
1334,1186
2025,1186
612,1187
776,1187
1314,1187
2585,1187
3406,1187
3572,1187
2697,1188
3868,1188
515,1189
3636,1189
1797,1190
465,1191
1609,1191
1126,1192
242,1193
1694,1193
2565,1193
289,1195
438,1195
3690,1196
210,1198
998,1198
2948,1198
3066,1199
383,1203
1369,1203
2051,1203
1112,1205
1602,1205
1419,1207
1044,1208
1103,1208
1455,1208
2151,1208
3198,1208
3848,1208
683,1209
2489,1209
3359,1209
67,1210
3766,1210
3426,1211
2162,1213
2380,1213
1793,1214
2948,1214
3095,1215
3551,1215
2437,1216
3655,1216
2587,1217
1974,1218
2768,1218
2140,1219
251,1220
1632,1220
2530,1220
3037,1221
1928,1222
2811,1222
2228,1223
2886,1224
2901,1224
3295,1224
972,1225
3058,1226
23,1227
1375,1227
2196,1227
4084,1227
3349,1229
3946,1230
384,1231
621,1231
986,1231
1106,1232
2846,1232
823,1233
1819,1233
2281,1233
2772,1233
2942,1233
1100,1235
1485,1235
307,1236
1054,1236
2001,1236
1837,1238
2207,1238
3662,1238
3913,1243
2591,1244
3127,1244
1129,1245
2985,1245
1096,1246
2533,1246
2809,1246
2855,1246
3169,1246
3563,1246
655,1247
408,1248
662,1249
234,1250
2428,1250
2471,1250
555,1251
780,1251
1948,1252
3639,1252
1547,1253
2760,1253
1429,1254
2227,1255
2220,1256
3899,1256
2757,1257
948,1258
1452,1259
3087,1259
3543,1260
1740,1261
1837,1261
3748,1261
3715,1263
3824,1264
4002,1264
1566,1265
2059,1265
2794,1265
1085,1266
304,1267
537,1267
652,1267
732,1267
1393,1268
989,1270
1753,1270
3965,1270
4072,1270
519,1271
3436,1271
805,1272
2362,1272
297,1274
645,1274
1086,1274
457,1276
22,1277
3211,1277
846,1279
1421,1279
2220,1279
497,1280
3357,1280
4053,1280
1471,1282
3137,1282
87,1283
2882,1285
3218,1285
2318,1287
3149,1288
1728,1290
1274,1291
2298,1292
2610,1294
3672,1295
1530,1296
1768,1296
2360,1296
3662,1296
1540,1297
3209,1297
2022,1299
2995,1299
2870,1300
3870,1301
2364,1304
4040,1304
306,1305
935,1307
1703,1307
800,1308
2997,1309
1394,1310
2091,1310
1673,1312
3067,1312
1075,1313
2864,1313
187,1314
1815,1314
2721,1314
3849,1314
44,1315
3217,1315
461,1316
1799,1318
3921,1318
1238,1319
845,1320
3084,1320
673,1321
1358,1321
2931,1321
2456,1322
2842,1322
1357,1323
2949,1325
3059,1325
1376,1326
1735,1326
2298,1327
1415,1329
1795,1329
2160,1329
2967,1329
1464,1330
1701,1330
2564,1330
694,1331
3207,1331
3772,1331
520,1333
2067,1334
3842,1334
1386,1338
3870,1338
2525,1339
3856,1340
2531,1341
2816,1341
3562,1341
211,1342
3416,1342
436,1343
1808,1343
2388,1343
3034,1344
2379,1345
1163,1346
2083,1346
1264,1347
2731,1347
3519,1347
3504,1348
856,1349
1795,1349
786,1350
2713,1350
2845,1350
52,1351
3230,1351
3892,1351
887,1352
273,1353
1430,1353
3248,1353
3630,1354
227,1355
619,1355
688,1355
3478,1355
49,1356
1288,1356
3328,1356
1976,1357
1999,1358
47,1360
2306,1360
2438,1360
2627,1360
3128,1360
2493,1361
115,1362
3131,1362
675,1363
4090,1363
973,1364
44,1365
1790,1365
3264,1365
480,1366
1092,1366
3249,1367
3455,1368
1649,1369
569,1370
755,1370
1802,1370
2244,1371
3880,1371
1476,1372
2410,1372
2579,1372
2962,1372
3959,1372
885,1373
134,1374
1882,1374
2455,1374
3678,1374
681,1375
833,1375
3647,1375
2429,1376
3953,1376
2735,1377
2322,1378
2398,1378
2595,1378
3809,1379
